id,name,category,duration,latitude,longitude,tags
1,경포해변,4,2,37.8054953,128.9082081,1
2,중앙시장,4,2,37.753562,128.8983903,3
3,남이섬,4,4,37.7900782,127.5262228,2
4,하슬라아트월드,4,3,37.7054563,129.0078448,4
5,서피비치,4,3,38.0280602,128.7175896,5
6,쏠비치 양양 오션플레이,4,3,38.0879645,128.6665957,5
7,도째비골 해랑전망대,4,2,37.5542823,129.120341,6
8,논골담길,4,2,37.5528728,129.1164779,7
9,대관령양떼목장,4,4,37.688846,128.7530098,8
10,정동진,4,3,37.6925306,129.0317609,1
11,속초관광수산시장,4,2,38.2039881,128.590598,3
12,초당할머니순두부,1,2,37.7905247,128.9153261,0
13,봉포머구리집,1,2,38.2187932,128.5932889,0
14,경포대게횟집,1,2,37.8019475,128.9109369,0
15,수산항물회,1,2,38.0479759,128.6863333,0
16,청초수물회 속초본점,1,2,38.1921462,128.5905385,0
17,죽도식당,1,2,37.970369,128.7604843,0
18,싱글핀 에일웍스,1,2,38.0234315,128.7227319,0
19,카페 툇마루,2,2,37.7928911,128.9144756,0
20,감자밭,2,2,37.9296125,127.7844985,0
21,예쁘다 하조대,2,2,38.0234301,128.7219675,0
22,플리즈웨잇,2,2,37.9685935,128.7619413,0
23,메밀라운지,2,2,37.9676567,128.7613741,0
24,속초751샌드위치 본점,2,2,38.2056225,128.576724,0
25,테라로사 커피공장 강릉본점,2,2,37.6964984,128.8920266,0
26,씨마크호텔,3,1,37.7980351,128.9151714,0
27,체스터톤스속초,3,1,38.1943159,128.5800413,0
28,쏠비치 양양,3,1,38.0869949,128.6655974,0
