id,name,category,duration,latitude,longitude,tags
1,경포해변,4,2,37.805495,128.908208,2
2,중앙시장,4,2,37.753562,128.89839,4
3,남이섬,4,4,37.790078,127.526223,3
4,하슬라아트월드,4,3,37.705456,129.007845,5
5,서피비치,4,3,38.02806,128.71759,6
6,쏠비치 양양 오션플레이,4,3,38.087964,128.666596,6
7,도째비골 해랑전망대,4,2,37.554282,129.120341,7
8,논골담길,4,2,37.552873,129.116478,8
9,대관령양떼목장,4,4,37.688846,128.75301,9
10,정동진,4,3,37.692531,129.031761,2
11,속초관광수산시장,4,2,38.203988,128.590598,4
12,초당할머니순두부,1,2,37.790525,128.915326,1
13,봉포머구리집,1,2,38.218793,128.593289,1
14,경포대게횟집,1,2,37.801948,128.910937,1
15,수산항물회,1,2,38.047976,128.686333,1
16,청초수물회 속초본점,1,2,38.192146,128.590539,1
17,죽도식당,1,2,37.970369,128.760484,1
18,싱글핀 에일웍스,1,2,38.023432,128.722732,1
19,카페 툇마루,2,2,37.792891,128.914476,1
20,감자밭,2,2,37.929612,127.784498,1
21,예쁘다 하조대,2,2,38.02343,128.721968,1
22,플리즈웨잇,2,2,37.968594,128.761941,1
23,메밀라운지,2,2,37.967657,128.761374,1
24,속초751샌드위치 본점,2,2,38.205622,128.576724,1
25,테라로사 커피공장 강릉본점,2,2,37.696498,128.892027,1
26,씨마크호텔,3,1,37.798035,128.915171,1
27,체스터톤스속초,3,1,38.194316,128.580041,1
28,쏠비치 양양,3,1,38.086995,128.665597,1
